date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:27	31359/31359	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Nov%202021%2017:37:40%20GMT	https://marketifythemes.net/html/3/index-dark-3.html	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/index-dark-3.html	(from )
14:35:28	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
14:35:29	7718/7718	---MCZ	200	added ('OK')	text/css	etag:W/%2222a6-61a3be68-7eb75a56949e989a;gz%22	https://marketifythemes.net/html/3/css/dark.css	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/css/dark.css	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:29	106442/106442	---MCZ	200	added ('OK')	text/css	etag:W/%222171e-61a3be6a-9a8048f0b8f7e66f;gz%22	https://marketifythemes.net/html/3/css/plugins.css	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/css/plugins.css	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:30	108057/108057	---MCZ	200	added ('OK')	text/css	etag:W/%2220a98-61a3c357-b32b4fbaee4f023b;gz%22	https://marketifythemes.net/html/3/css/style.css	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/css/style.css	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:30	1615/1615	---M-Z	200	added ('OK')	image/svg+xml	etag:%2264f-61a3be81-945d4d026f3f6e0d;gz%22	https://marketifythemes.net/html/3/img/svg/cancel.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/cancel.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:30	4325/4325	---M--	200	added ('OK')	image/png	etag:%2210e5-61a3be7d-517d5d6aa5f0395a;;;%22	https://marketifythemes.net/html/3/img/logo/light.png	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/logo/light.png	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:32	41940/41940	---M--	200	added ('OK')	image/jpeg	etag:%22a3d4-61a3be74-e913ff772ec6e5dd;;;%22	https://marketifythemes.net/html/3/img/hero/5.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/hero/5.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:32	98195/98195	---M--	200	added ('OK')	image/jpeg	etag:%2217f93-61a3be74-65eb4aa484348a0b;;;%22	https://marketifythemes.net/html/3/img/hero/3.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/hero/3.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:32	1483/1483	---M-Z	200	added ('OK')	image/svg+xml	etag:%225cb-61a3be81-2bb5d7f54a0bb0e2;gz%22	https://marketifythemes.net/html/3/img/svg/archive.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/archive.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:33	1934/1934	---M-Z	200	added ('OK')	image/svg+xml	etag:%2278e-61a3be81-6be140e04066b2c7;gz%22	https://marketifythemes.net/html/3/img/svg/contacs.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/contacs.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:33	48943/48943	---M--	200	added ('OK')	image/jpeg	etag:%22bf2f-61a3be6f-783fc71d0f4d19e0;;;%22	https://marketifythemes.net/html/3/img/cv/1.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/cv/1.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:33	1082/1082	---M-Z	200	added ('OK')	image/svg+xml	etag:%2243a-61a3be81-fc8bf6fd38147b68;gz%22	https://marketifythemes.net/html/3/img/svg/briefcase.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/briefcase.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:34	4012/4012	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fac-61a3be81-bfeea8992c2395c1;gz%22	https://marketifythemes.net/html/3/img/svg/gear.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/gear.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:34	1268/1268	---M-Z	200	added ('OK')	image/svg+xml	etag:%224f4-61a3be82-2b311deae5301396;gz%22	https://marketifythemes.net/html/3/img/svg/message.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/message.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:34	2877/2877	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b3d-61a3be83-b9caa8e4e47f1a4f;gz%22	https://marketifythemes.net/html/3/img/svg/writing.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/writing.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:35	775/775	---M-Z	200	added ('OK')	image/svg+xml	etag:%22307-61a3be82-1f1f9a1e5ff79d8d;gz%22	https://marketifythemes.net/html/3/img/svg/letter.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/letter.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:35	1337/1337	---M--	200	added ('OK')	image/jpeg	etag:%22539-61a3be83-d4b03714b01757e4;;;%22	https://marketifythemes.net/html/3/img/thumbs/10-9.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/thumbs/10-9.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:36	999/999	---M-Z	200	added ('OK')	image/svg+xml	etag:%223e7-61a3be84-2b3e9dd82edc61b;gz%22	https://marketifythemes.net/html/3/img/svg/social/facebook-2.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/social/facebook-2.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:36	1547/1547	---M-Z	200	added ('OK')	image/svg+xml	etag:%2260b-61a3be85-b83dfe28fdc430cd;gz%22	https://marketifythemes.net/html/3/img/svg/social/twitter-2.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/social/twitter-2.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:37	1230/1230	---M-Z	200	added ('OK')	image/svg+xml	etag:%224ce-61a3be85-e8cd91a207889cfd;gz%22	https://marketifythemes.net/html/3/img/svg/social/youtube-3.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/social/youtube-3.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:37	1348/1348	---M-Z	200	added ('OK')	image/svg+xml	etag:%22544-61a3be85-30a8080d4661f70d;gz%22	https://marketifythemes.net/html/3/img/svg/social/linkedin-2.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/social/linkedin-2.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:38	1141/1141	---M--	200	added ('OK')	image/jpeg	etag:%22475-61a3be83-53abec5d8245d398;;;%22	https://marketifythemes.net/html/3/img/thumbs/35-44.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/thumbs/35-44.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:38	1127/1127	---M--	200	added ('OK')	image/jpeg	etag:%22467-61a3be83-3ccdf56e6ea03ad3;;;%22	https://marketifythemes.net/html/3/img/thumbs/1-1.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/thumbs/1-1.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:38	54029/54029	---M--	200	added ('OK')	image/jpeg	etag:%22d30d-61a3be6c-29c89af14401ccbe;;;%22	https://marketifythemes.net/html/3/img/about/1.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/about/1.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:39	2301/2301	---M-Z	200	added ('OK')	image/svg+xml	etag:%228fd-61a3be85-413b850dfaa82d13;gz%22	https://marketifythemes.net/html/3/img/svg/social/vimeo.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/social/vimeo.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:39	21315/21315	---M--	200	added ('OK')	image/jpeg	etag:%225343-61a3be7e-f3f6ccfc656aee69;;;%22	https://marketifythemes.net/html/3/img/portfolio/1.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/portfolio/1.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:39	27005/27005	---M--	200	added ('OK')	image/jpeg	etag:%22697d-61a3be7e-ff5571ebc229f4b2;;;%22	https://marketifythemes.net/html/3/img/portfolio/2.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/portfolio/2.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:39	3039/3039	---M-Z	200	added ('OK')	image/svg+xml	etag:%22bdf-61a3be85-7a7327499a7fe39b;gz%22	https://marketifythemes.net/html/3/img/svg/social/youtube-2.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/social/youtube-2.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:39	8464/8464	---M--	200	added ('OK')	image/jpeg	etag:%222110-61a3be7e-99b3775e5d4922ad;;;%22	https://marketifythemes.net/html/3/img/portfolio/3.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/portfolio/3.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:40	871/871	---M-Z	200	added ('OK')	image/svg+xml	etag:%22367-61a3be85-59593dbdd3d1840e;gz%22	https://marketifythemes.net/html/3/img/svg/social/soundcloud.svg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/svg/social/soundcloud.svg	(from https://marketifythemes.net/html/3/index-dark-3.html)
14:35:41	57187/57187	---M--	200	added ('OK')	image/jpeg	etag:%22df63-61a3be7f-b5b6be3bc01b6e75;;;%22	https://marketifythemes.net/html/3/img/portfolio/8.jpg	C:/Users/DURO%20MEDIA%20PC%202/Desktop/Ahmed/conplex/portfolio%201/marketifythemes.net/html/3/img/portfolio/8.jpg	(from https://marketifythemes.net/html/3/index-dark-3.html)
